Date,Team 1,Team 2,Score 1,Score 2,Stage,Source record,Total Goals Per Match,Stage Group
2026-06-11,Mexico,South Africa,2,0,GROUP STAGE,4,2,Group Stage
2026-06-12,South Korea,Czech Republic,2,1,GROUP STAGE,5,3,Group Stage
2026-06-12,Canada,Bosnia & Herzegovina,1,1,GROUP STAGE,6,2,Group Stage
2026-06-13,USA,Paraguay,4,1,GROUP STAGE,7,5,Group Stage
2026-06-13,Qatar,Switzerland,1,1,GROUP STAGE,8,2,Group Stage
2026-06-13,Brazil,Morocco,1,1,GROUP STAGE,9,2,Group Stage
2026-06-14,Haiti,Scotland,0,1,GROUP STAGE,10,1,Group Stage
2026-06-14,Australia,Turkey,2,0,GROUP STAGE,11,2,Group Stage
2026-06-14,Germany,Curacao,7,1,GROUP STAGE,12,8,Group Stage
2026-06-14,Netherlands,Japan,2,2,GROUP STAGE,13,4,Group Stage
2026-06-15,Ivory Coast,Ecuador,1,0,GROUP STAGE,14,1,Group Stage
2026-06-15,Sweden,Tunisia,5,1,GROUP STAGE,15,6,Group Stage
2026-06-15,Spain,Cape Verde,0,0,GROUP STAGE,16,0,Group Stage
2026-06-15,Belgium,Egypt,1,1,GROUP STAGE,17,2,Group Stage
2026-06-15,Saudi Arabia,Uruguay,1,1,GROUP STAGE,18,2,Group Stage
2026-06-16,Iran,New Zealand,2,2,GROUP STAGE,19,4,Group Stage
2026-06-16,France,Senegal,3,1,GROUP STAGE,20,4,Group Stage
2026-06-16,Iraq,Norway,1,4,GROUP STAGE,21,5,Group Stage
2026-06-17,Argentina,Algeria,3,0,GROUP STAGE,22,3,Group Stage
2026-06-17,Austria,Jordan,3,1,GROUP STAGE,23,4,Group Stage
2026-06-17,Portugal,D.R. Congo,1,1,GROUP STAGE,24,2,Group Stage
2026-06-17,England,Croatia,4,2,GROUP STAGE,25,6,Group Stage
2026-06-18,Ghana,Panama,1,0,GROUP STAGE,26,1,Group Stage
2026-06-18,Uzbekistan,Colombia,1,3,GROUP STAGE,27,4,Group Stage
2026-06-18,Czech Republic,South Africa,1,1,GROUP STAGE,28,2,Group Stage
