Date,Team 1,Team 2,Score 1,Score 2,Stage,Source record,Total Goals Per Match,Stage Group
2026-06-13,Qatar,Switzerland,1,1,GROUP STAGE,8,2,Group Stage
2026-06-27,Cape Verde,Saudi Arabia,0,0,GROUP STAGE,66,0,Group Stage
2026-06-17,Argentina,Algeria,3,0,GROUP STAGE,22,3,Group Stage
2026-06-11,Mexico,South Africa,2,0,GROUP STAGE,4,2,Group Stage
2026-06-19,USA,Australia,2,0,GROUP STAGE,32,2,Group Stage
2026-06-24,Morocco,Haiti,4,2,GROUP STAGE,54,6,Group Stage
2026-06-15,Ivory Coast,Ecuador,1,0,GROUP STAGE,14,1,Group Stage
2026-06-21,Ecuador,Curacao,0,0,GROUP STAGE,38,0,Group Stage
2026-06-15,Spain,Cape Verde,0,0,GROUP STAGE,16,0,Group Stage
2026-06-25,Curacao,Ivory Coast,0,2,GROUP STAGE,58,2,Group Stage
2026-06-24,Colombia,D.R. Congo,1,0,GROUP STAGE,51,1,Group Stage
2026-06-20,Turkey,Paraguay,0,1,GROUP STAGE,35,1,Group Stage
2026-06-14,Netherlands,Japan,2,2,GROUP STAGE,13,4,Group Stage
2026-06-23,England,Ghana,0,0,GROUP STAGE,49,0,Group Stage
2026-06-13,Brazil,Morocco,1,1,GROUP STAGE,9,2,Group Stage
2026-06-18,Ghana,Panama,1,0,GROUP STAGE,26,1,Group Stage
2026-06-26,Japan,Sweden,1,1,GROUP STAGE,60,2,Group Stage
2026-06-24,Switzerland,Canada,2,1,GROUP STAGE,53,3,Group Stage
2026-06-20,Germany,Ivory Coast,2,1,GROUP STAGE,37,3,Group Stage
2026-06-22,New Zealand,Egypt,1,3,GROUP STAGE,43,4,Group Stage
2026-06-26,Turkey,USA,3,2,GROUP STAGE,63,5,Group Stage
2026-06-16,France,Senegal,3,1,GROUP STAGE,20,4,Group Stage
2026-06-21,Tunisia,Japan,0,4,GROUP STAGE,39,4,Group Stage
2026-06-23,Portugal,Uzbekistan,5,0,GROUP STAGE,48,5,Group Stage
2026-06-28,D.R. Congo,Uzbekistan,3,1,GROUP STAGE,73,4,Group Stage
2026-06-14,Australia,Turkey,2,0,GROUP STAGE,11,2,Group Stage
2026-06-25,Ecuador,Germany,2,1,GROUP STAGE,59,3,Group Stage
2026-06-23,Norway,Senegal,3,2,GROUP STAGE,46,5,Group Stage
2026-06-20,Brazil,Haiti,3,0,GROUP STAGE,34,3,Group Stage
2026-06-24,Panama,Croatia,0,1,GROUP STAGE,50,1,Group Stage
2026-06-28,Jordan,Argentina,1,3,GROUP STAGE,75,4,Group Stage
2026-06-17,Austria,Jordan,3,1,GROUP STAGE,23,4,Group Stage
2026-06-26,Paraguay,Australia,0,0,GROUP STAGE,62,0,Group Stage
2026-06-18,Switzerland,Bosnia & Herzegovina,4,1,GROUP STAGE,29,5,Group Stage
2026-06-22,Argentina,Austria,2,0,GROUP STAGE,44,2,Group Stage
2026-06-15,Belgium,Egypt,1,1,GROUP STAGE,17,2,Group Stage
2026-07-11,Argentina,Switzerland,3,1,QUARTER FINALS,112,4,Knockout Stage
2026-07-03,Colombia,Ghana,1,0,ROUND OF 32,94,1,Knockout Stage
2026-07-07,Switzerland,Colombia,0,0,ROUND OF 16,105,0,Knockout Stage
2026-07-04,Paraguay,France,0,1,ROUND OF 16,99,1,Knockout Stage
2026-07-01,Belgium,Senegal,3,2,ROUND OF 32,87,5,Knockout Stage
2026-07-01,USA,Bosnia & Herzegovina,2,0,ROUND OF 32,88,2,Knockout Stage
2026-07-15,England,Argentina,1,2,SEMI FINALS,117,3,Knockout Stage
2026-07-09,France,Morocco,2,0,QUARTER FINALS,109,2,Knockout Stage
2026-07-02,Switzerland,Algeria,2,0,ROUND OF 32,91,2,Knockout Stage
2026-06-28,South Africa,Canada,0,1,ROUND OF 32,79,1,Knockout Stage
2026-06-30,Ivory Coast,Norway,1,2,ROUND OF 32,83,3,Knockout Stage
2026-07-04,Canada,Morocco,0,3,ROUND OF 16,98,3,Knockout Stage
2026-06-30,France,Sweden,3,0,ROUND OF 32,84,3,Knockout Stage
2026-07-03,Australia,Egypt,1,1,ROUND OF 32,92,2,Knockout Stage
2026-07-02,Portugal,Croatia,2,1,ROUND OF 32,90,3,Knockout Stage
2026-07-07,Argentina,Egypt,3,2,ROUND OF 16,104,5,Knockout Stage
