GROUP STAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GOALS,,,,CARDS,,,,CORNERS,,,,,,,xG,,SHOTS,,"SHOTS ON
TARGET",,FOULS,
Date,Team 1,Result,,Team 2,1H,,2H,,YEL,,RED,,1H C,,2H C,,MC,,T,,,,,,,,
11-06-26,Mexico,2,0,South Africa,1,0,1,0,1,2,1,2,2,1,1,0,3,1,4,1.46,0.07,16,3,4,2,12,11
12-06-26,South Korea,2,1,Czech Republic,0,0,2,1,1,0,0,0,3,3,1,2,4,5,9,2.3,0.83,15,7,6,4,9,16
12-06-26,Canada,1,1,Bosnia & Herzegovina,0,1,1,0,2,3,0,0,9,1,0,3,9,4,13,1.25,0.98,13,8,4,3,10,20
13-06-26,USA,4,1,Paraguay,3,0,1,1,1,5,0,0,2,0,1,1,3,1,4,1.42,0.54,16,9,6,1,13,17
13-06-26,Qatar,1,1,Switzerland,0,1,1,0,2,1,0,0,3,4,0,6,3,10,13,0.6,3.2,6,26,3,7,12,11
13-06-26,Brazil,1,1,Morocco,1,1,0,0,2,0,0,0,2,0,4,2,6,2,8,1.26,1.37,12,14,5,3,16,14
14-06-26,Haiti,0,1,Scotland,0,1,0,0,1,3,0,0,0,0,4,3,4,3,7,1.05,1.05,15,9,2,2,23,21
14-06-26,Australia,2,0,Turkey,1,0,1,0,0,1,0,0,2,2,3,6,5,8,13,1.18,1.36,9,30,4,8,12,4
14-06-26,Germany,7,1,Curacao,3,1,4,0,0,0,0,0,6,0,2,1,8,1,9,4.22,0.41,26,8,12,2,18,11
14-06-26,Netherlands,2,2,Japan,0,0,2,2,3,0,0,0,3,1,2,3,5,4,9,0.78,0.59,10,10,6,3,7,7
15-06-26,Ivory Coast,1,0,Ecuador,0,0,1,0,3,1,0,0,2,0,1,5,3,5,8,1.52,1.01,15,12,4,1,10,13
15-06-26,Sweden,5,1,Tunisia,2,1,3,0,0,1,0,0,2,0,2,2,4,2,6,1.33,0.28,13,6,7,2,10,8
15-06-26,Spain,0,0,Cape Verde,0,0,0,0,1,1,0,0,4,0,7,1,11,1,12,2.1,0.2,27,6,7,1,10,1
15-06-26,Belgium,1,1,Egypt,0,1,1,0,2,2,0,0,0,4,2,3,2,7,9,1.35,1.08,15,14,3,3,15,15
15-06-26,Saudi Arabia,1,1,Uruguay,1,0,0,1,1,0,0,0,4,2,0,12,4,14,18,0.66,1.72,7,27,3,10,11,6
16-06-26,Iran,2,2,New Zealand,1,1,1,1,1,0,0,0,0,1,4,0,4,1,5,1.5,1.24,17,14,4,8,10,8
16-06-26,France,3,1,Senegal,0,0,3,1,0,0,0,0,3,2,3,2,6,4,10,1.79,0.53,11,6,8,2,5,9
16-06-26,Iraq,1,4,Norway,1,2,0,2,1,0,0,0,2,2,0,3,2,5,7,0.8,2.52,11,12,1,5,12,13
17-06-26,Argentina,3,0,Algeria,1,0,2,0,0,0,0,0,0,2,2,0,2,2,4,1.26,0.32,10,7,6,0,13,8
17-06-26,Austria,3,1,Jordan,1,0,2,1,1,0,0,0,1,3,3,0,4,3,7,1.66,0.53,11,11,4,4,12,7
17-06-26,Portugal,1,1,D.R. Congo,1,1,0,0,3,1,0,0,1,3,4,1,5,4,9,0.65,0.87,7,8,1,2,9,10
17-06-26,England,4,2,Croatia,2,2,2,0,0,0,0,0,3,1,5,1,8,2,10,3.2,0.7,22,10,11,5,10,12
18-06-26,Ghana,1,0,Panama,0,0,1,0,1,2,0,0,0,0,2,2,2,2,4,1.31,0.73,8,11,2,4,9,11
18-06-26,Uzbekistan,1,3,Colombia,0,1,1,2,1,1,0,0,1,2,2,2,3,4,7,1.16,1.61,8,15,2,4,14,11
18-06-26,Czech Republic,1,1,South Africa,1,0,0,1,1,2,0,0,2,3,3,2,5,5,10,1.02,1.38,14,17,3,4,12,10
18-06-26,Switzerland,4,1,Bosnia & Herzegovina,0,0,4,1,1,2,0,1,4,2,3,1,7,3,10,2.06,0.23,13,5,7,3,7,18
18-06-26,Canada,6,0,Qatar,3,0,3,0,1,1,0,2,5,1,14,0,19,1,20,4.6,0.22,32,2,10,0,9,10
19-06-26,Mexico,1,0,South Korea,0,0,1,0,0,2,0,0,0,0,0,2,0,2,2,0.53,0.91,8,9,4,2,9,7
19-06-26,USA,2,0,Australia,2,0,0,0,3,4,0,0,3,2,4,2,7,4,11,1.08,0.35,10,5,2,2,12,16
19-06-26,Scotland,0,1,Morocco,0,1,0,0,1,1,0,0,0,3,2,2,2,5,7,0.51,0.99,6,12,0,2,11,8
20-06-26,Brazil,3,0,Haiti,3,0,0,0,1,3,0,0,4,1,0,3,4,4,8,1.75,0.23,8,7,5,3,13,14
20-06-26,Turkey,0,1,Paraguay,0,1,0,0,1,1,0,1,5,0,7,0,12,0,12,2.17,0.32,32,7,5,2,14,15
20-06-26,Netherlands,5,1,Sweden,2,0,3,1,0,3,0,0,1,2,1,3,2,5,7,2.61,1.01,10,16,7,8,9,12
20-06-26,Germany,2,1,Ivory Coast,0,1,2,0,0,0,0,0,3,1,5,2,8,3,11,1.89,1.22,16,9,7,2,5,7
21-06-26,Ecuador,0,0,Curacao,0,0,0,0,1,5,0,0,1,0,8,0,9,0,9,2.84,0.5,27,10,15,3,7,10
21-06-26,Tunisia,0,4,Japan,0,2,0,2,0,0,0,0,1,2,2,3,3,5,8,0.05,2.13,2,11,0,5,8,15
21-06-26,Spain,4,0,Saudi Arabia,3,0,1,0,0,2,0,0,4,1,2,0,6,1,7,2.3,0.14,22,3,8,1,10,2
21-06-26,Belgium,0,0,Iran,0,0,0,0,1,1,1,0,2,1,2,1,4,2,6,1.79,0.62,23,7,7,3,7,9
21-06-26,Uruguay,2,2,Cape Verde,2,1,0,1,2,2,0,0,4,1,7,3,11,4,15,2.32,0.88,17,12,2,4,11,4
22-06-26,New Zealand,1,3,Egypt,1,0,0,3,2,1,0,0,1,1,3,2,4,3,7,1.24,1.87,11,19,5,7,14,8
22-06-26,Argentina,2,0,Austria,1,0,1,0,2,2,0,0,0,2,1,1,1,3,4,2.36,0.53,12,6,5,1,13,13
22-06-26,France,3,0,Iraq,1,0,2,0,0,1,0,0,1,1,3,1,4,2,6,2.67,0.63,19,4,5,0,8,4
23-06-26,Norway,3,2,Senegal,1,0,2,2,0,0,0,0,4,1,1,3,5,4,9,2.2,1.72,13,16,7,4,13,5
23-06-26,Jordan,1,2,Algeria,1,0,0,2,1,1,0,0,0,3,1,7,1,10,11,0.63,1.89,8,17,4,8,11,6
23-06-26,Portugal,5,0,Uzbekistan,3,0,2,0,1,1,0,0,1,0,2,2,3,2,5,2.61,0.24,17,7,9,2,14,15
23-06-26,England,0,0,Ghana,0,0,0,0,1,1,0,0,3,1,6,1,9,2,11,1.36,0.17,19,2,3,1,14,24
24-06-26,Panama,0,1,Croatia,0,0,0,1,1,1,0,0,0,1,7,1,7,2,9,0.55,1.65,8,6,1,2,19,12
24-06-26,Colombia,1,0,D.R. Congo,0,0,1,0,2,1,0,0,2,2,3,2,5,4,9,0.98,0.37,20,7,9,1,12,16
24-06-26,Bosnia & Herzegovina,3,1,Qatar,2,1,1,0,1,1,0,0,4,1,1,4,5,5,10,0.68,0.77,14,9,5,3,9,14
24-06-26,Switzerland,2,1,Canada,0,0,2,1,1,2,0,0,2,1,0,6,2,7,9,1.11,1.66,6,13,4,7,19,13
24-06-26,Morocco,4,2,Haiti,2,2,2,0,0,3,0,0,3,0,6,1,9,1,10,3.76,0.67,22,9,11,2,10,18
24-06-26,Scotland,0,3,Brazil,0,2,0,1,1,2,0,0,3,3,4,3,7,6,13,1.04,4.33,14,21,5,9,10,11
25-06-26,Czech Republic,0,3,Mexico,0,0,0,3,0,1,0,0,0,0,5,1,5,1,6,0.53,1.74,13,11,1,5,9,13
25-06-26,South Africa,1,0,South Korea,0,0,1,0,1,1,0,0,4,2,0,4,4,6,10,1.16,0.9,13,8,4,3,7,9
25-06-26,Curacao,0,2,Ivory Coast,0,1,0,1,2,1,0,0,3,2,1,4,4,6,10,0.5,1.31,11,7,2,3,11,6
25-06-26,Ecuador,2,1,Germany,1,1,1,0,3,1,0,0,1,1,2,1,3,2,5,1.27,0.65,7,11,3,3,15,10
26-06-26,Japan,1,1,Sweden,0,0,1,1,1,2,0,0,1,3,1,5,2,8,10,1.21,0.64,8,11,3,5,20,11
26-06-26,Tunisia,1,3,Netherlands,0,2,1,1,0,0,0,0,1,3,3,3,4,6,10,0.62,1.85,10,20,4,7,11,10
26-06-26,Paraguay,0,0,Australia,0,0,0,0,1,1,0,0,0,3,1,0,1,3,4,0.24,0.55,7,12,2,5,9,6
26-06-26,Turkey,3,2,USA,2,1,1,1,0,1,0,0,2,5,0,4,2,9,11,3.01,2.13,9,18,3,7,13,13
26-06-26,Norway,1,4,France,1,3,0,1,1,1,0,0,1,3,3,2,4,5,9,1.7,1.5,10,18,4,9,9,11
26-06-26,Senegal,5,0,Iraq,1,0,4,0,2,2,0,1,6,3,6,0,12,3,15,3.01,1.04,28,6,12,1,10,11
27-06-26,Cape Verde,0,0,Saudi Arabia,0,0,0,0,1,3,0,0,2,0,2,2,4,2,6,1.39,0.39,15,7,2,3,10,16
27-06-26,Uruguay,0,1,Spain,0,1,0,0,3,1,1,0,0,5,1,1,1,6,7,0.2,0.86,5,6,1,1,14,14
27-06-26,Egypt,1,1,Iran,1,1,0,0,3,4,0,0,4,0,4,2,8,2,10,0.84,1.97,15,13,3,4,11,16
27-06-26,New Zealand,1,5,Belgium,0,1,1,4,2,0,0,0,1,4,4,4,5,8,13,0.25,3.69,6,35,2,10,10,7
27-06-26,Croatia,2,1,Ghana,1,0,1,1,1,1,0,0,0,0,3,2,3,2,5,0.42,0.74,8,6,4,1,9,13
27-06-26,Panama,0,2,England,0,0,0,2,2,1,0,0,1,5,2,2,3,7,10,0.58,1.49,13,17,2,6,16,13
28-06-26,Colombia,0,0,Portugal,0,0,0,0,1,0,0,0,1,0,4,2,5,2,7,1.7,0.93,24,13,6,2,12,6
28-06-26,D.R. Congo,3,1,Uzbekistan,0,1,3,0,3,2,0,0,1,3,1,1,2,4,6,2.18,0.2,19,3,4,1,6,16
