Date,Team 1,Team 2,Target 1,Target 2,Stage,Source record,Total Shots on Target Per Match
2026-06-11,Mexico,South Africa,4,2.0,GROUP STAGE,4,6.0
2026-06-12,South Korea,Czech Republic,6,4.0,GROUP STAGE,5,10.0
2026-06-12,Canada,Bosnia & Herzegovina,4,3.0,GROUP STAGE,6,7.0
2026-06-13,USA,Paraguay,6,1.0,GROUP STAGE,7,7.0
2026-06-13,Qatar,Switzerland,3,7.0,GROUP STAGE,8,10.0
2026-06-13,Brazil,Morocco,5,3.0,GROUP STAGE,9,8.0
2026-06-14,Haiti,Scotland,2,2.0,GROUP STAGE,10,4.0
2026-06-14,Australia,Turkey,4,8.0,GROUP STAGE,11,12.0
2026-06-14,Germany,Curacao,12,2.0,GROUP STAGE,12,14.0
2026-06-14,Netherlands,Japan,6,3.0,GROUP STAGE,13,9.0
2026-06-15,Ivory Coast,Ecuador,4,1.0,GROUP STAGE,14,5.0
2026-06-15,Sweden,Tunisia,7,2.0,GROUP STAGE,15,9.0
2026-06-15,Spain,Cape Verde,7,1.0,GROUP STAGE,16,8.0
2026-06-15,Belgium,Egypt,3,3.0,GROUP STAGE,17,6.0
2026-06-15,Saudi Arabia,Uruguay,3,10.0,GROUP STAGE,18,13.0
2026-06-16,Iran,New Zealand,4,8.0,GROUP STAGE,19,12.0
2026-06-16,France,Senegal,8,2.0,GROUP STAGE,20,10.0
2026-06-16,Iraq,Norway,1,5.0,GROUP STAGE,21,6.0
2026-06-17,Argentina,Algeria,6,0.0,GROUP STAGE,22,6.0
2026-06-17,Austria,Jordan,4,4.0,GROUP STAGE,23,8.0
2026-06-17,Portugal,D.R. Congo,1,2.0,GROUP STAGE,24,3.0
2026-06-17,England,Croatia,11,5.0,GROUP STAGE,25,16.0
2026-06-18,Ghana,Panama,2,4.0,GROUP STAGE,26,6.0
2026-06-18,Uzbekistan,Colombia,2,4.0,GROUP STAGE,27,6.0
2026-06-18,Czech Republic,South Africa,3,4.0,GROUP STAGE,28,7.0
2026-06-18,Switzerland,Bosnia & Herzegovina,7,3.0,GROUP STAGE,29,10.0
2026-06-18,Canada,Qatar,10,0.0,GROUP STAGE,30,10.0
2026-06-19,Mexico,South Korea,4,2.0,GROUP STAGE,31,6.0
2026-06-19,USA,Australia,2,2.0,GROUP STAGE,32,4.0
2026-06-19,Scotland,Morocco,0,2.0,GROUP STAGE,33,2.0
2026-06-20,Brazil,Haiti,5,3.0,GROUP STAGE,34,8.0
2026-06-20,Turkey,Paraguay,5,2.0,GROUP STAGE,35,7.0
2026-06-20,Netherlands,Sweden,7,8.0,GROUP STAGE,36,15.0
2026-06-20,Germany,Ivory Coast,7,2.0,GROUP STAGE,37,9.0
2026-06-21,Ecuador,Curacao,15,3.0,GROUP STAGE,38,18.0
2026-06-21,Tunisia,Japan,0,5.0,GROUP STAGE,39,5.0
2026-06-21,Spain,Saudi Arabia,8,1.0,GROUP STAGE,40,9.0
2026-06-21,Belgium,Iran,7,3.0,GROUP STAGE,41,10.0
2026-06-21,Uruguay,Cape Verde,2,4.0,GROUP STAGE,42,6.0
2026-06-22,New Zealand,Egypt,5,7.0,GROUP STAGE,43,12.0
2026-06-22,Argentina,Austria,5,1.0,GROUP STAGE,44,6.0
2026-06-22,France,Iraq,5,0.0,GROUP STAGE,45,5.0
2026-06-23,Norway,Senegal,7,4.0,GROUP STAGE,46,11.0
2026-06-23,Jordan,Algeria,4,8.0,GROUP STAGE,47,12.0
2026-06-23,Portugal,Uzbekistan,9,2.0,GROUP STAGE,48,11.0
2026-06-23,England,Ghana,3,1.0,GROUP STAGE,49,4.0
2026-06-24,Panama,Croatia,1,2.0,GROUP STAGE,50,3.0
2026-06-24,Colombia,D.R. Congo,9,1.0,GROUP STAGE,51,10.0
2026-06-24,Bosnia & Herzegovina,Qatar,5,3.0,GROUP STAGE,52,8.0
2026-06-24,Switzerland,Canada,4,7.0,GROUP STAGE,53,11.0
2026-06-24,Morocco,Haiti,11,2.0,GROUP STAGE,54,13.0
2026-06-24,Scotland,Brazil,5,9.0,GROUP STAGE,55,14.0
2026-06-25,Czech Republic,Mexico,1,5.0,GROUP STAGE,56,6.0
2026-06-25,South Africa,South Korea,4,3.0,GROUP STAGE,57,7.0
2026-06-25,Curacao,Ivory Coast,2,3.0,GROUP STAGE,58,5.0
2026-06-25,Ecuador,Germany,3,3.0,GROUP STAGE,59,6.0
2026-06-26,Japan,Sweden,3,5.0,GROUP STAGE,60,8.0
2026-06-26,Tunisia,Netherlands,4,7.0,GROUP STAGE,61,11.0
2026-06-26,Paraguay,Australia,2,5.0,GROUP STAGE,62,7.0
2026-06-26,Turkey,USA,3,7.0,GROUP STAGE,63,10.0
2026-06-26,Norway,France,4,9.0,GROUP STAGE,64,13.0
2026-06-26,Senegal,Iraq,12,1.0,GROUP STAGE,65,13.0
2026-06-27,Cape Verde,Saudi Arabia,2,3.0,GROUP STAGE,66,5.0
2026-06-27,Uruguay,Spain,1,1.0,GROUP STAGE,67,2.0
2026-06-27,Egypt,Iran,3,4.0,GROUP STAGE,68,7.0
2026-06-27,New Zealand,Belgium,2,10.0,GROUP STAGE,69,12.0
2026-06-27,Croatia,Ghana,4,1.0,GROUP STAGE,70,5.0
2026-06-27,Panama,England,2,6.0,GROUP STAGE,71,8.0
2026-06-28,Colombia,Portugal,6,2.0,GROUP STAGE,72,8.0
2026-06-28,D.R. Congo,Uzbekistan,4,1.0,GROUP STAGE,73,5.0
2026-06-28,Algeria,Austria,5,3.0,GROUP STAGE,74,8.0
2026-06-28,Jordan,Argentina,1,4.0,GROUP STAGE,75,5.0
2026-06-28,South Africa,Canada,1,7.0,ROUND OF 32,79,8.0
2026-06-29,Brazil,Japan,7,2.0,ROUND OF 32,80,9.0
2026-06-29,Germany,Paraguay,6,3.0,ROUND OF 32,81,9.0
2026-06-29,Netherlands,Morocco,2,5.0,ROUND OF 32,82,7.0
2026-06-30,Ivory Coast,Norway,5,4.0,ROUND OF 32,83,9.0
2026-06-30,France,Sweden,12,3.0,ROUND OF 32,84,15.0
2026-06-30,Mexico,Ecuador,3,1.0,ROUND OF 32,85,4.0
2026-07-01,England,D.R. Congo,7,2.0,ROUND OF 32,86,9.0
2026-07-01,Belgium,Senegal,5,5.0,ROUND OF 32,87,10.0
2026-07-01,USA,Bosnia & Herzegovina,2,3.0,ROUND OF 32,88,5.0
2026-07-02,Spain,Austria,10,0.0,ROUND OF 32,89,10.0
2026-07-02,Portugal,Croatia,3,6.0,ROUND OF 32,90,9.0
2026-07-02,Switzerland,Algeria,5,2.0,ROUND OF 32,91,7.0
2026-07-03,Australia,Egypt,1,3.0,ROUND OF 32,92,4.0
2026-07-03,Argentina,Cape Verde,10,5.0,ROUND OF 32,93,15.0
2026-07-03,Colombia,Ghana,8,0.0,ROUND OF 32,94,8.0
2026-07-04,Canada,Morocco,3,4.0,ROUND OF 16,98,7.0
2026-07-04,Paraguay,France,0,5.0,ROUND OF 16,99,5.0
2026-07-05,Brazil,Norway,4,5.0,ROUND OF 16,100,9.0
2026-07-05,Mexico,England,5,5.0,ROUND OF 16,101,10.0
2026-07-06,Portugal,Spain,2,6.0,ROUND OF 16,102,8.0
2026-07-06,USA,Belgium,2,7.0,ROUND OF 16,103,9.0
2026-07-07,Argentina,Egypt,7,2.0,ROUND OF 16,104,9.0
2026-07-07,Switzerland,Colombia,2,3.0,ROUND OF 16,105,5.0
2026-07-09,France,Morocco,8,1.0,QUARTER FINALS,109,9.0
2026-07-10,Spain,Belgium,8,2.0,QUARTER FINALS,110,10.0
2026-07-11,Norway,England,4,8.0,QUARTER FINALS,111,12.0
2026-07-11,Argentina,Switzerland,7,5.0,QUARTER FINALS,112,12.0
2026-07-14,France,Spain,3,2.0,SEMI FINALS,116,5.0
2026-07-15,England,Argentina,2,5.0,SEMI FINALS,117,7.0
2026-07-19,Spain,Argentina,12,0.0,FINAL,121,12.0
