Date,Team 1,Team 2,Target 1,Target 2,Stage,Source record,Total Shots on Target Per Match
2026-06-20,Brazil,Haiti,5,3.0,GROUP STAGE,34,8.0
2026-06-27,Panama,England,2,6.0,GROUP STAGE,71,8.0
2026-06-27,Cape Verde,Saudi Arabia,2,3.0,GROUP STAGE,66,5.0
2026-06-24,Colombia,D.R. Congo,9,1.0,GROUP STAGE,51,10.0
2026-06-23,Norway,Senegal,7,4.0,GROUP STAGE,46,11.0
2026-06-22,Argentina,Austria,5,1.0,GROUP STAGE,44,6.0
2026-07-05,Brazil,Norway,4,5.0,ROUND OF 16,100,9.0
2026-06-23,England,Ghana,3,1.0,GROUP STAGE,49,4.0
2026-06-15,Ivory Coast,Ecuador,4,1.0,GROUP STAGE,14,5.0
2026-06-11,Mexico,South Africa,4,2.0,GROUP STAGE,4,6.0
2026-06-17,Argentina,Algeria,6,0.0,GROUP STAGE,22,6.0
2026-06-20,Turkey,Paraguay,5,2.0,GROUP STAGE,35,7.0
2026-07-10,Spain,Belgium,8,2.0,QUARTER FINALS,110,10.0
2026-07-03,Australia,Egypt,1,3.0,ROUND OF 32,92,4.0
2026-06-30,Ivory Coast,Norway,5,4.0,ROUND OF 32,83,9.0
2026-06-13,Qatar,Switzerland,3,7.0,GROUP STAGE,8,10.0
2026-07-01,England,D.R. Congo,7,2.0,ROUND OF 32,86,9.0
2026-06-20,Germany,Ivory Coast,7,2.0,GROUP STAGE,37,9.0
2026-06-15,Spain,Cape Verde,7,1.0,GROUP STAGE,16,8.0
2026-06-18,Canada,Qatar,10,0.0,GROUP STAGE,30,10.0
2026-07-14,France,Spain,3,2.0,SEMI FINALS,116,5.0
2026-06-25,South Africa,South Korea,4,3.0,GROUP STAGE,57,7.0
2026-06-18,Ghana,Panama,2,4.0,GROUP STAGE,26,6.0
2026-06-28,Colombia,Portugal,6,2.0,GROUP STAGE,72,8.0
2026-06-23,Portugal,Uzbekistan,9,2.0,GROUP STAGE,48,11.0
2026-07-11,Norway,England,4,8.0,QUARTER FINALS,111,12.0
2026-06-16,Iran,New Zealand,4,8.0,GROUP STAGE,19,12.0
2026-06-29,Brazil,Japan,7,2.0,ROUND OF 32,80,9.0
2026-06-22,New Zealand,Egypt,5,7.0,GROUP STAGE,43,12.0
2026-06-14,Netherlands,Japan,6,3.0,GROUP STAGE,13,9.0
2026-07-02,Switzerland,Algeria,5,2.0,ROUND OF 32,91,7.0
2026-06-15,Sweden,Tunisia,7,2.0,GROUP STAGE,15,9.0
2026-07-15,England,Argentina,2,5.0,SEMI FINALS,117,7.0
2026-06-25,Ecuador,Germany,3,3.0,GROUP STAGE,59,6.0
2026-06-19,USA,Australia,2,2.0,GROUP STAGE,32,4.0
2026-06-27,Egypt,Iran,3,4.0,GROUP STAGE,68,7.0
2026-06-13,Brazil,Morocco,5,3.0,GROUP STAGE,9,8.0
2026-06-30,Mexico,Ecuador,3,1.0,ROUND OF 32,85,4.0
2026-06-27,New Zealand,Belgium,2,10.0,GROUP STAGE,69,12.0
2026-06-21,Tunisia,Japan,0,5.0,GROUP STAGE,39,5.0
