Date,Team 1,Team 2,Score 1,Score 2,Corners 1,Corners 2,Stage,Source record,Winner,Loser,Winner Corners,Loser Corners,Corner Difference
2026-06-23,Jordan,Algeria,1,2,1,10.0,GROUP STAGE,47,Algeria,Jordan,10.0,1.0,9.0
2026-06-11,Mexico,South Africa,2,0,3,1.0,GROUP STAGE,4,Mexico,South Africa,3.0,1.0,2.0
2026-06-20,Netherlands,Sweden,5,1,2,5.0,GROUP STAGE,36,Netherlands,Sweden,2.0,5.0,-3.0
2026-06-23,Portugal,Uzbekistan,5,0,3,2.0,GROUP STAGE,48,Portugal,Uzbekistan,3.0,2.0,1.0
2026-06-19,USA,Australia,2,0,7,4.0,GROUP STAGE,32,USA,Australia,7.0,4.0,3.0
2026-06-22,France,Iraq,3,0,4,2.0,GROUP STAGE,45,France,Iraq,4.0,2.0,2.0
2026-06-17,Argentina,Algeria,3,0,2,2.0,GROUP STAGE,22,Argentina,Algeria,2.0,2.0,0.0
2026-07-06,USA,Belgium,1,4,3,5.0,ROUND OF 16,103,Belgium,USA,5.0,3.0,2.0
2026-06-14,Australia,Turkey,2,0,5,8.0,GROUP STAGE,11,Australia,Turkey,5.0,8.0,-3.0
2026-06-17,England,Croatia,4,2,8,2.0,GROUP STAGE,25,England,Croatia,8.0,2.0,6.0
2026-06-27,Panama,England,0,2,3,7.0,GROUP STAGE,71,England,Panama,7.0,3.0,4.0
2026-06-24,Colombia,D.R. Congo,1,0,5,4.0,GROUP STAGE,51,Colombia,D.R. Congo,5.0,4.0,1.0
2026-07-05,Brazil,Norway,1,2,5,5.0,ROUND OF 16,100,Norway,Brazil,5.0,5.0,0.0
2026-06-24,Switzerland,Canada,2,1,2,7.0,GROUP STAGE,53,Switzerland,Canada,2.0,7.0,-5.0
2026-07-05,Mexico,England,2,3,12,2.0,ROUND OF 16,101,England,Mexico,2.0,12.0,-10.0
2026-06-26,Senegal,Iraq,5,0,12,3.0,GROUP STAGE,65,Senegal,Iraq,12.0,3.0,9.0
2026-07-10,Spain,Belgium,2,1,5,1.0,QUARTER FINALS,110,Spain,Belgium,5.0,1.0,4.0
2026-07-02,Portugal,Croatia,2,1,9,5.0,ROUND OF 32,90,Portugal,Croatia,9.0,5.0,4.0
2026-06-30,France,Sweden,3,0,9,1.0,ROUND OF 32,84,France,Sweden,9.0,1.0,8.0
2026-06-25,Curacao,Ivory Coast,0,2,4,6.0,GROUP STAGE,58,Ivory Coast,Curacao,6.0,4.0,2.0
2026-06-16,Iraq,Norway,1,4,2,5.0,GROUP STAGE,21,Norway,Iraq,5.0,2.0,3.0
2026-07-03,Colombia,Ghana,1,0,3,2.0,ROUND OF 32,94,Colombia,Ghana,3.0,2.0,1.0
2026-06-14,Germany,Curacao,7,1,8,1.0,GROUP STAGE,12,Germany,Curacao,8.0,1.0,7.0
2026-06-27,New Zealand,Belgium,1,5,5,8.0,GROUP STAGE,69,Belgium,New Zealand,8.0,5.0,3.0
2026-06-24,Bosnia & Herzegovina,Qatar,3,1,5,5.0,GROUP STAGE,52,Bosnia & Herzegovina,Qatar,5.0,5.0,0.0
2026-07-02,Switzerland,Algeria,2,0,4,2.0,ROUND OF 32,91,Switzerland,Algeria,4.0,2.0,2.0
2026-06-26,Tunisia,Netherlands,1,3,4,6.0,GROUP STAGE,61,Netherlands,Tunisia,6.0,4.0,2.0
2026-06-30,Ivory Coast,Norway,1,2,14,3.0,ROUND OF 32,83,Norway,Ivory Coast,3.0,14.0,-11.0
2026-06-18,Canada,Qatar,6,0,19,1.0,GROUP STAGE,30,Canada,Qatar,19.0,1.0,18.0
2026-06-25,South Africa,South Korea,1,0,4,6.0,GROUP STAGE,57,South Africa,South Korea,4.0,6.0,-2.0
2026-06-30,Mexico,Ecuador,2,0,3,8.0,ROUND OF 32,85,Mexico,Ecuador,3.0,8.0,-5.0
2026-07-19,Spain,Argentina,1,0,9,4.0,FINAL,121,Spain,Argentina,9.0,4.0,5.0
2026-06-15,Sweden,Tunisia,5,1,4,2.0,GROUP STAGE,15,Sweden,Tunisia,4.0,2.0,2.0
2026-06-28,D.R. Congo,Uzbekistan,3,1,2,4.0,GROUP STAGE,73,D.R. Congo,Uzbekistan,2.0,4.0,-2.0
2026-06-29,Brazil,Japan,2,1,6,2.0,ROUND OF 32,80,Brazil,Japan,6.0,2.0,4.0
2026-06-19,Scotland,Morocco,0,1,2,5.0,GROUP STAGE,33,Morocco,Scotland,5.0,2.0,3.0
2026-07-04,Paraguay,France,0,1,2,12.0,ROUND OF 16,99,France,Paraguay,12.0,2.0,10.0
2026-06-21,Spain,Saudi Arabia,4,0,6,1.0,GROUP STAGE,40,Spain,Saudi Arabia,6.0,1.0,5.0
2026-06-26,Norway,France,1,4,4,5.0,GROUP STAGE,64,France,Norway,5.0,4.0,1.0
2026-06-18,Ghana,Panama,1,0,2,2.0,GROUP STAGE,26,Ghana,Panama,2.0,2.0,0.0
