Date,Team 1,Team 2,Score 1,Score 2,Yellow 1,Yellow 2,Stage,Source record,Winner,Loser,Winner Yellow Cards,Loser Yellow Cards,Yellow Card Difference
2026-06-11,Mexico,South Africa,2,0,1,2.0,GROUP STAGE,4,Mexico,South Africa,1.0,2.0,1.0
2026-06-12,South Korea,Czech Republic,2,1,1,0.0,GROUP STAGE,5,South Korea,Czech Republic,1.0,0.0,-1.0
2026-06-13,USA,Paraguay,4,1,1,5.0,GROUP STAGE,7,USA,Paraguay,1.0,5.0,4.0
2026-06-14,Haiti,Scotland,0,1,1,3.0,GROUP STAGE,10,Scotland,Haiti,3.0,1.0,-2.0
2026-06-14,Australia,Turkey,2,0,0,1.0,GROUP STAGE,11,Australia,Turkey,0.0,1.0,1.0
2026-06-14,Germany,Curacao,7,1,0,0.0,GROUP STAGE,12,Germany,Curacao,0.0,0.0,0.0
2026-06-15,Ivory Coast,Ecuador,1,0,3,1.0,GROUP STAGE,14,Ivory Coast,Ecuador,3.0,1.0,-2.0
2026-06-15,Sweden,Tunisia,5,1,0,1.0,GROUP STAGE,15,Sweden,Tunisia,0.0,1.0,1.0
2026-06-16,France,Senegal,3,1,0,0.0,GROUP STAGE,20,France,Senegal,0.0,0.0,0.0
2026-06-16,Iraq,Norway,1,4,1,0.0,GROUP STAGE,21,Norway,Iraq,0.0,1.0,1.0
2026-06-17,Argentina,Algeria,3,0,0,0.0,GROUP STAGE,22,Argentina,Algeria,0.0,0.0,0.0
2026-06-17,Austria,Jordan,3,1,1,0.0,GROUP STAGE,23,Austria,Jordan,1.0,0.0,-1.0
2026-06-17,England,Croatia,4,2,0,0.0,GROUP STAGE,25,England,Croatia,0.0,0.0,0.0
2026-06-18,Ghana,Panama,1,0,1,2.0,GROUP STAGE,26,Ghana,Panama,1.0,2.0,1.0
2026-06-18,Uzbekistan,Colombia,1,3,1,1.0,GROUP STAGE,27,Colombia,Uzbekistan,1.0,1.0,0.0
2026-06-18,Switzerland,Bosnia & Herzegovina,4,1,1,2.0,GROUP STAGE,29,Switzerland,Bosnia & Herzegovina,1.0,2.0,1.0
2026-06-18,Canada,Qatar,6,0,1,1.0,GROUP STAGE,30,Canada,Qatar,1.0,1.0,0.0
2026-06-19,Mexico,South Korea,1,0,0,2.0,GROUP STAGE,31,Mexico,South Korea,0.0,2.0,2.0
2026-06-19,USA,Australia,2,0,3,4.0,GROUP STAGE,32,USA,Australia,3.0,4.0,1.0
2026-06-19,Scotland,Morocco,0,1,1,1.0,GROUP STAGE,33,Morocco,Scotland,1.0,1.0,0.0
2026-06-20,Brazil,Haiti,3,0,1,3.0,GROUP STAGE,34,Brazil,Haiti,1.0,3.0,2.0
2026-06-20,Turkey,Paraguay,0,1,1,1.0,GROUP STAGE,35,Paraguay,Turkey,1.0,1.0,0.0
2026-06-20,Netherlands,Sweden,5,1,0,3.0,GROUP STAGE,36,Netherlands,Sweden,0.0,3.0,3.0
2026-06-20,Germany,Ivory Coast,2,1,0,0.0,GROUP STAGE,37,Germany,Ivory Coast,0.0,0.0,0.0
2026-06-21,Tunisia,Japan,0,4,0,0.0,GROUP STAGE,39,Japan,Tunisia,0.0,0.0,0.0
2026-06-21,Spain,Saudi Arabia,4,0,0,2.0,GROUP STAGE,40,Spain,Saudi Arabia,0.0,2.0,2.0
2026-06-22,New Zealand,Egypt,1,3,2,1.0,GROUP STAGE,43,Egypt,New Zealand,1.0,2.0,1.0
2026-06-22,Argentina,Austria,2,0,2,2.0,GROUP STAGE,44,Argentina,Austria,2.0,2.0,0.0
2026-06-22,France,Iraq,3,0,0,1.0,GROUP STAGE,45,France,Iraq,0.0,1.0,1.0
2026-06-23,Norway,Senegal,3,2,0,0.0,GROUP STAGE,46,Norway,Senegal,0.0,0.0,0.0
2026-06-23,Jordan,Algeria,1,2,1,1.0,GROUP STAGE,47,Algeria,Jordan,1.0,1.0,0.0
2026-06-23,Portugal,Uzbekistan,5,0,1,1.0,GROUP STAGE,48,Portugal,Uzbekistan,1.0,1.0,0.0
2026-06-24,Panama,Croatia,0,1,1,1.0,GROUP STAGE,50,Croatia,Panama,1.0,1.0,0.0
